response_id,question,university,true_label,predicted_label
R_2yjCOIGcNitkSe9,Q2_UF,UF: University of Florida,0,0
R_3QPJ7VxNRXXe4QR,Q2_UF,UF: University of Florida,0,0
R_piLTsh0jCe1Nxlv,Q2_UF,UF: University of Florida,1,1
R_3e9LXigHqb3padf,Q2_UF,UF: University of Florida,0,0
R_1Qa1aMyxfgnMsf2,Q2_UF,UF: University of Florida,0,0
R_1d5JCzoywo5qsHz,Q2_UF,UF: University of Florida,0,0
R_1DYeZVlMR0yqoa0,Q2_UF,UF: University of Florida,0,1
R_27lfLtyv1ssz1v7,Q2_UF,UF: University of Florida,1,1
R_1FgmJdZogVIpfMA,Q2_UF,UF: University of Florida,1,0
R_12sZ7fCjIj6oaVa,Q2_UF,UF: University of Florida,0,0
R_0MQRpHixKGKfQzf,Q2_UF,UF: University of Florida,1,0
R_1kFdAVzfwHe76Rq,Q2_UF,UF: University of Florida,1,1
R_12QkKp4Dmy4NhYx,Q2_UF,UF: University of Florida,2,1
R_5gNgxPGdZeRIs4F,Q2_UF,UF: University of Florida,0,0
R_10NmNgK1lNpdI11,Q2_UF,UF: University of Florida,1,0
R_p9HQ6d5neyHqpPz,Q2_UF,UF: University of Florida,0,0
R_3mcP1Qiyii91Sk9,Q2_UF,UF: University of Florida,0,0
R_2dEz1evreucmIKw,Q2_UF,UF: University of Florida,0,0
R_2YfuUd96cpwExTw,Q2_UF,UF: University of Florida,0,0
R_3gYR5VI4qA6FbK5,Q2_UF,UF: University of Florida,0,0
R_2aVqGm8pYfGOllh,Q2_UF,UF: University of Florida,0,0
R_295hwb3vc9LKKxx,Q2_UF,UF: University of Florida,0,0
R_26hVaB2qpXKPzCX,Q2_UF,UF: University of Florida,0,1
R_3k647OnhA32lBMB,Q2_UF,UF: University of Florida,1,0
R_DGjYYgb95BEnuFP,Q2_UF,NA,0,1
R_2cj8eoXwNaSApuq,Q2_UF,UF: University of Florida,1,0
R_3koZDT3MjVtcQl3,Q2_UF,UF: University of Florida,1,0
R_PIFWsY9IrVSdYRz,Q2_UF,UF: University of Florida,0,1
R_1DoorjauORI3gzz,Q2_UF,UF: University of Florida,0,0
R_2X4gpKhNI2hKcNA,Q2_UF,UF: University of Florida,1,1
R_3Ez2qF0LoEhVVAp,Q2_UF,UF: University of Florida,0,0
R_1PcwiZx3AR4goJZ,Q2_UF,UF: University of Florida,1,0
R_3MtaUIMjvJVPBr1,Q2_UF,UF: University of Florida,0,0
R_2Ysn7bkaI3VsNsl,Q2_UF,UF: University of Florida,1,0
R_RUg4zD8PXY8NeaB,Q2_UF,UF: University of Florida,1,0
R_cY25qF1A2GStINX,Q2_UF,UF: University of Florida,1,0
R_2ckhQv4nJ90pbbi,Q2_UF,UF: University of Florida,0,0
R_7QCipo49G0BBpRv,Q2_UF,UF: University of Florida,0,0
R_Dq4zYA2a1jap3Mt,Q2_UF,UF: University of Florida,0,0
R_3Emv0M6VF9SEArM,Q2_UF,UF: University of Florida,0,0
R_2dlN5B8YPmR7oto,Q2_UF,UF: University of Florida,1,0
R_1CDUo72SFdWqrdx,Q2_UF,UF: University of Florida,0,0
R_3qL75uYG08bPR3q,Q2_UF,UF: University of Florida,0,0
R_1Okmze1wvWKWi8F,Q2_UF,UF: University of Florida,0,0
R_22yJ0Y9pmOWjDyn,Q2_UF,NA,0,0
R_1JIXEmB9Y2OEbXp,Q2_UF,UF: University of Florida,1,0
R_29ntW4yUhZ3jVTw,Q1_ISU,ISU: Iowa State University,2,1
R_XOfJbeM43SgeyCR,Q1_ISU,ISU: Iowa State University,2,1
R_2axGo50ZAjOiDuU,Q1_ISU,ISU: Iowa State University,2,1
R_27TgnY9wXz03ROk,Q1_ISU,ISU: Iowa State University,1,1
R_2WxveTvoQ3wH7ko,Q1_ISU,ISU: Iowa State University,1,1
R_1QfQGrw6na0ToKN,Q1_ISU,ISU: Iowa State University,2,1
R_Rk2OpraIdU5dtER,Q1_ISU,ISU: Iowa State University,1,1
R_DNbGtGsltt6YgYp,Q1_ISU,ISU: Iowa State University,1,1
R_1E5JRuVxt5tFEb7,Q1_ISU,ISU: Iowa State University,2,1
R_1gTpX6pM3wk4OWR,Q1_ISU,ISU: Iowa State University,2,1
R_8dgMJbrxG7G8pHP,Q1_ISU,ISU: Iowa State University,1,1
R_2xF2oPGL6FBdgOn,Q1_ISU,ISU: Iowa State University,1,1
R_3JELb6DdyEO582a,Q1_ISU,ISU: Iowa State University,1,1
R_1dnvSLbpJgBTXTG,Q1_ISU,ISU: Iowa State University,0,1
R_1eUBRVBVFe7Kptj,Q1_ISU,ISU: Iowa State University,0,1
R_3hcqL3C6mWBEbJb,Q1_ISU,ISU: Iowa State University,1,1
R_1LBvWtTcENRcy8k,Q1_ISU,ISU: Iowa State University,2,1
R_29pUU9hefrTU9SV,Q1_ISU,ISU: Iowa State University,1,1
R_a9msDKjrZEl5GNj,Q1_ISU,ISU: Iowa State University,2,1
R_2R9SUOW2ZT1pXG8,Q1_ISU,ISU: Iowa State University,1,1
R_d7tF60k75vbvT8t,Q1_ISU,ISU: Iowa State University,2,1
R_2fdm2ahugqnQ1gy,Q1_ISU,ISU: Iowa State University,2,1
R_28TDDGf7GzEEHzc,Q1_ISU,ISU: Iowa State University,1,1
R_3fIw1FqGaReMayQ,Q2_UTEP,"UTEP: University of Texas, El Paso",2,0
R_p0F6iCLjlEQhDLb,Q2_UTEP,"UTEP: University of Texas, El Paso",2,1
R_3EPZt3AVC1eAWhq,Q2_UTEP,"UTEP: University of Texas, El Paso",2,0
R_5tJ3ynU4siwIVWS,Q3_UF,UF: University of Florida,0,1
R_6f2JAYNwP81ksnH,Q3_UF,UF: University of Florida,1,1
R_1Sjc3roe8FisWlK,Q3_UF,UF: University of Florida,1,1
R_7EFRGsa74t7oM38,Q3_UF,UF: University of Florida,1,1
R_1KdQca4KWwKdD4Y,Q3_UF,UF: University of Florida,1,1
R_5kGqmTz1vdukKyK,Q3_UF,UF: University of Florida,1,1
R_5CBDHIlaFdj9lId,Q3_UF,UF: University of Florida,1,1
R_6pAY1Q8n5arb4M9,Q3_UF,UF: University of Florida,1,1
R_6rOQj5qVrXuAwiP,Q3_UF,UF: University of Florida,0,1
R_3prtB5xdbyn3lHd,Q3_UF,UF: University of Florida,0,1
R_6n75A5TuRRb8loF,Q3_UF,UF: University of Florida,1,1
R_3DjssqxHrlc9va2,Q3_UF,UF: University of Florida,1,1
R_6EbAVWqL3pqCIBT,Q3_UF,UF: University of Florida,1,1
R_1FPx1OjtRRqNupz,Q3_UF,UF: University of Florida,1,1
R_1P5SP3qsdZ2HRP0,Q3_UF,UF: University of Florida,1,1
R_5gK7xhiFiQDc6kh,Q3_UF,UF: University of Florida,1,1
R_708WX9eJAXho1M7,Q3_UF,UF: University of Florida,0,1
R_6PAmsAB2DIovf26,Q3_UF,NA,1,1
R_3kRcNmN3w7xthd1,Q3_UF,UF: University of Florida,1,1
R_5MLNMWlrdIf7FW7,Q3_UF,UF: University of Florida,0,1
R_5pD4dbFCNbp9XTH,Q3_UF,UF: University of Florida,1,1
R_52PYXUm2b2fRsbM,Q3_UF,UF: University of Florida,1,1
R_1q7GF4zeSCW6Lgt,Q3_UF,UF: University of Florida,1,1
R_3GjgeOrkp430l6g,Q3_UF,UF: University of Florida,1,1
R_7mRkMVTi5G3y8SZ,Q3_UF,UF: University of Florida,0,1
R_3pu04idHWaoye1P,Q3_UF,UF: University of Florida,1,1
R_5MYB7xbQeHOO9rP,Q3_UF,UF: University of Florida,1,1
R_5dEtdaqgptWpRqU,Q3_UF,UF: University of Florida,1,1
R_5r7J416BO7270iX,Q3_UF,UF: University of Florida,1,1
R_32nUsTCDIoepgYu,Q3_UF,UF: University of Florida,0,1
R_1OU9X6ExOijr4X3,Q3_UF,UF: University of Florida,1,1
R_3TgX0eQJ92QnKjT,Q3_UF,UF: University of Florida,1,1
R_7Dvfn8EScYZbh5A,Q3_UF,UF: University of Florida,1,1
R_3AHrftA3jFePBYd,Q3_UF,UF: University of Florida,2,1
R_11aJ3cfI0bDKxom,Q3_UF,UF: University of Florida,1,1
R_5fdAQJTHurpx44s,Q3_UF,UF: University of Florida,1,1
R_7FUScCCZMiaK40h,Q3_UF,UF: University of Florida,2,1
R_1D6PR4bgRK1fIKT,Q3_UF,UF: University of Florida,0,1
R_71ib9FDCtiMdLHi,Q3_UF,UF: University of Florida,1,1
R_75GAPg8OLOb019L,Q3_UF,UF: University of Florida,1,1
R_5BFh78XlBiyCl3j,Q3_UF,UF: University of Florida,1,1
R_1MSRO5fSQNYzRhk,Q3_UF,UF: University of Florida,1,1
R_52McQwPqUJMCJ8l,Q3_UF,UF: University of Florida,1,1
R_51VmIJwuL5hq5JT,Q3_UF,UF: University of Florida,2,1
R_33fJS5tTlZLDChO,Q3_UF,UF: University of Florida,1,1
R_5fPJ0K0qs0M5Ndv,Q3_UF,UF: University of Florida,2,1
R_7rpwISz2NGts20i,Q3_UF,UF: University of Florida,1,1
R_5HOV47Y6SiAFvZn,Q3_UF,UF: University of Florida,1,1
R_3vArAD8WcItpXpf,Q3_UF,UF: University of Florida,1,1
R_710I5UYMVp9RYwx,Q3_UF,UF: University of Florida,1,1
R_6QF3nHP5N5mf6Nt,Q3_UF,UF: University of Florida,0,1
R_3R3ZPjqLAzxJ07n,Q3_UF,UF: University of Florida,1,1
R_7ARNGecEe0nQqId,Q3_UF,UF: University of Florida,2,1
R_5k0lgVz79EdpbwJ,Q3_UF,UF: University of Florida,1,1
R_5ogPKgku3CfrXtW,Q3_UF,UF: University of Florida,1,1
R_6fPmEWEamRphBPA,Q3_UF,UF: University of Florida,2,1
R_5bQapqbluhObCWO,Q3_UF,UF: University of Florida,1,1
R_52PIzgED58tfzVv,Q3_UF,UF: University of Florida,1,1
R_7WDbZ32ZNybh7Vl,Q3_UF,UF: University of Florida,0,1
R_3CDfsfW027lM41H,Q3_UF,UF: University of Florida,1,1
R_5TC7lQssV2wprpm,Q3_UF,UF: University of Florida,1,1
R_1VJAPHKtCT9jVFo,Q3_UF,UF: University of Florida,1,1
R_191FRVR2Pbc3ilH,Q3_UF,UF: University of Florida,1,1
R_3jHSEpkLfp7KXPH,Q3_UF,UF: University of Florida,0,1
R_3jZdJrrOie2R5BH,Q3_UF,UF: University of Florida,2,1
R_1o6AUF1nDMrlJOI,Q3_UF,UF: University of Florida,0,1
R_6cvdCsMKmSrSbfh,Q3_UF,UF: University of Florida,1,1
R_1mmHwSeaSiUgqyT,Q3_UF,UF: University of Florida,1,1
R_6f3RBWd7pESfeaW,Q3_UF,UF: University of Florida,2,1
R_5EcDAWuQNdphsKB,Q3_UF,UF: University of Florida,0,1
R_2axUzEdQEVNcYxZ,Q1_UF,UF: University of Florida,1,1
R_bE1WQrorAN4TxS1,Q1_UF,UF: University of Florida,0,1
R_1pZ38OBWPH40rXQ,Q1_UF,UF: University of Florida,0,1
R_3Ic6jHu5XT17XAp,Q1_UF,UF: University of Florida,1,1
R_W03kc79KofbGISZ,Q1_UF,UF: University of Florida,0,1
R_3hc1f2f6aNrqRWU,Q1_UF,UF: University of Florida,0,1
R_1jxCcm2EVh20ivB,Q1_UF,UF: University of Florida,0,1
R_3fk208ryYqLI8wo,Q1_UF,UF: University of Florida,0,1
R_1gNs1RzNEsd4EQK,Q1_UF,UF: University of Florida,0,1
R_3qs5goZIsBmUqLr,Q1_UF,UF: University of Florida,0,1
R_28HXJe5hPJiKYvq,Q1_UF,Other university:,0,1
R_6zENg8ZqDL2R6NP,Q1_UF,UF: University of Florida,0,1
R_PN9EHIhg162qBWh,Q1_UF,UF: University of Florida,0,1
R_12FpowXCnZZub3M,Q1_UF,UF: University of Florida,0,1
R_3k0zZXwyth2iLbp,Q1_UF,UF: University of Florida,0,1
R_1ocEL0hVlJbPrSJ,Q1_UF,UF: University of Florida,1,1
R_TvVmGpA5A8sJMg9,Q1_UF,UF: University of Florida,0,1
R_1jvREj3Vh4JZYr9,Q1_UF,UF: University of Florida,0,1
R_2e4LDZ9gJ8akzMm,Q1_UF,UF: University of Florida,1,1
R_3iED9dXG3vMkQtO,Q1_UF,UF: University of Florida,1,1
R_SWa6KpztPFgaH4d,Q1_UF,UF: University of Florida,1,1
R_3j2mBrl56eg5472,Q1_UF,UF: University of Florida,1,1
R_22FjvlOAWJ40wYV,Q1_UF,UF: University of Florida,1,1
R_3HCy8H6Id2E8xp2,Q1_UF,UF: University of Florida,0,1
R_3O00uQ2kSsIHE8L,Q1_UF,UF: University of Florida,1,1
R_wZwmLYtTBPyDFDz,Q1_UF,UF: University of Florida,0,1
R_Rrd8uNImBOCZ2gx,Q1_UF,UF: University of Florida,1,1
R_1pSvjYMNwt2KLPu,Q1_UF,UF: University of Florida,0,1
R_3PdA4XvblNA4ifX,Q1_UF,UF: University of Florida,0,1
R_TiTu4HTYUXQBmH7,Q1_UF,UF: University of Florida,0,1
R_0psEIPRnolBvo7T,Q1_UF,UF: University of Florida,0,1
R_ehti7b1UuCdZ3IB,Q1_UF,UF: University of Florida,0,1
R_3Q02Uz64JoEDQun,Q1_UF,UF: University of Florida,0,1
R_2DOBQpj8vv1IIrY,Q1_UF,UF: University of Florida,1,1
R_YbEWRRVxWhJxiU1,Q1_UF,UF: University of Florida,1,1
R_3dX7z9Eran1niln,Q1_UF,UF: University of Florida,1,1
R_3LZ4zns72Ugwq21,Q1_UF,UF: University of Florida,0,1
R_12x1SNm2PF9Iwsv,Q1_UF,UF: University of Florida,2,1
R_sZiLdceASgYZTSV,Q1_UF,UF: University of Florida,0,1
R_1GyvTlBg10lV6Ea,Q1_UF,UF: University of Florida,0,1
R_29nx98mTCTGojHL,Q1_UF,UF: University of Florida,0,1
R_2zN5kzF16UQxfCI,Q1_UF,UF: University of Florida,1,1
R_2t0hRCsV4zuyKlD,Q1_UF,UF: University of Florida,0,1
R_3qyrhhsNpxpFfK0,Q1_UF,UF: University of Florida,0,1
R_R33PZNIBO2GIBc5,Q1_UF,UF: University of Florida,0,1
R_1pnAarAtdp1Ovgu,Q1_UF,UF: University of Florida,0,1
R_2U9nJMzCj7JYVAd,Q1_UF,UF: University of Florida,0,1
R_3Rt0WHXog4dsuG2,Q1_UF,UF: University of Florida,0,1
R_3qecDzy6VNi5Ciz,Q1_UF,UF: University of Florida,0,1
R_2xXaLkxlxxHrdFG,Q1_UF,UF: University of Florida,1,1
R_3plOQLIA3Cm8nN7,Q1_UF,UF: University of Florida,0,1
R_3OlAYb7NfPIlAV2,Q1_UF,UF: University of Florida,0,1
R_2YsQIm4vodmsNXs,Q1_UF,UF: University of Florida,0,1
R_1psb9hIz9JIwoo6,Q1_UF,UF: University of Florida,0,1
R_325DVUJh0vmAQ9M,Q1_UF,UF: University of Florida,0,1
R_2f26Tq5LnG4uRiH,Q1_UF,UF: University of Florida,0,1
R_2y2gZ7o9zunL5ER,Q1_UF,UF: University of Florida,0,1
R_2tyPkJrbCBwnUO7,Q1_UF,UF: University of Florida,0,1
R_3fUfWXj9WBanb8u,Q1_UF,UF: University of Florida,1,1
R_6GzuH2AJ0ooUBnr,Q1_UF,UF: University of Florida,1,1
R_3EyjIJenUgM5Xzm,Q1_UF,UF: University of Florida,1,1
R_1CHdyx3mIjjrJCl,Q1_UF,UF: University of Florida,0,1
R_2B9gEeL4AaswYbt,Q1_UF,UF: University of Florida,0,1
R_Um5yxfYzjGApcbL,Q1_UF,UF: University of Florida,0,1
R_OkTPKLbdZfXogyR,Q1_UF,UF: University of Florida,0,1
R_5A6MkjpmdbnTNBL,Q1_UF,UF: University of Florida,0,1
R_1QzPHWGWPrQiigw,Q1_UF,UF: University of Florida,0,1
R_1FLdHh1S6LK9Uyd,Q1_UF,UF: University of Florida,1,1
R_1dg0ND2VRVymdAq,Q1_UF,UF: University of Florida,0,1
R_2uqiyL7a6xYe1Cu,Q1_UF,UF: University of Florida,0,1
R_3qII9X98ejQxdfy,Q1_UF,UF: University of Florida,0,1
R_D5yGKOLKAMINYdP,Q1_UF,UF: University of Florida,1,1
R_2e25SP747IjcqXi,Q1_UF,UF: University of Florida,1,1
R_2P1JAGBYotSvjUE,Q1_UF,UF: University of Florida,2,1
R_3NTVqWGauMN166Y,Q1_UF,UF: University of Florida,0,1
R_28IDI1K78Lee3mG,Q1_UF,UF: University of Florida,1,1
R_2YrGaINRHS7lFXP,Q1_UF,UF: University of Florida,1,1
R_3nk1SGbaw76vr0P,Q1_UF,UF: University of Florida,0,1
R_6F2Q2DN0SrQwYAa,Q5_ISU,ISU: Iowa State University,2,1
R_5dahScFCd55lccN,Q5_ISU,ISU: Iowa State University,1,1
R_1q3rxomtvT2yDFo,Q5_ISU,ISU: Iowa State University,1,1
R_73ea097tfA1a2ly,Q5_ISU,ISU: Iowa State University,1,1
R_8rkV1v92RzWNg9H,Q5_ISU,ISU: Iowa State University,1,1
R_6eFDJZrymjAjM6e,Q5_ISU,ISU: Iowa State University,1,1
R_7L6EuWQVV3Vc7kd,Q5_ISU,ISU: Iowa State University,2,1
R_7RO2MvqrAOYIpRf,Q5_ISU,ISU: Iowa State University,1,1
R_5WuxtqA9AwINx9D,Q5_ISU,ISU: Iowa State University,1,1
R_6fSI7yvLBIlUZUp,Q5_ISU,ISU: Iowa State University,1,1
R_7qJBH6wiKmenHu1,Q5_ISU,ISU: Iowa State University,1,1
R_6PTPqLerhtOBPQl,Q5_ISU,ISU: Iowa State University,1,1
R_7uVT5JwFutYuUNk,Q5_ISU,ISU: Iowa State University,1,1
R_7tlo45IlHK4JQcb,Q5_ISU,ISU: Iowa State University,1,1
R_7rPaUO4yAqQJfyQ,Q5_ISU,ISU: Iowa State University,2,1
R_62L6BcsIde16pvD,Q5_ISU,ISU: Iowa State University,1,1
R_71YfguVmAeLdWB5,Q4_ISU,ISU: Iowa State University,1,0
R_5FsQmj2YxEz599u,Q4_ISU,ISU: Iowa State University,0,0
R_3thxRrflwUltlDH,Q4_ISU,ISU: Iowa State University,0,1
R_579kqVKX1AGGGE1,Q4_ISU,ISU: Iowa State University,0,0
R_3CarpUGbizlsMQF,Q4_ISU,ISU: Iowa State University,1,0
R_14U2fa9sH0ngQcF,Q4_ISU,ISU: Iowa State University,2,0
R_5agixZHgZYhiufb,Q4_ISU,ISU: Iowa State University,0,0
R_7NwbIsPUfIjDTgD,Q4_ISU,ISU: Iowa State University,2,2
R_7pwK0D86lU4DGrn,Q4_ISU,ISU: Iowa State University,2,0
R_3NsKTAJNqctlqHn,Q4_ISU,ISU: Iowa State University,0,0
R_7HMZpqnfGMQ1OmZ,Q4_ISU,ISU: Iowa State University,0,0
R_6daUI4YrWTcCPZr,Q4_ISU,ISU: Iowa State University,1,0
R_7fy5aZeiU9zX0Rt,Q4_ISU,ISU: Iowa State University,0,0
R_1T5C9v4J2UaB78d,Q4_ISU,ISU: Iowa State University,2,0
R_7NwCfch8nYmYYD1,Q4_ISU,ISU: Iowa State University,0,0
R_6gu3IOn7bwNzHdx,Q4_ISU,ISU: Iowa State University,2,0
R_71Y1m8Z4USRAlIB,Q4_ISU,ISU: Iowa State University,0,0
R_5lTzA6c7y7zULOF,Q4_ISU,ISU: Iowa State University,0,0
R_3mqreFCGNT4C1pf,Q4_ISU,ISU: Iowa State University,2,0
R_5MGNPkbMSfvEQ4I,Q4_ISU,ISU: Iowa State University,1,0
R_3Ia9YLh4riFHBKx,Q4_ISU,ISU: Iowa State University,1,0
R_1rrcNDBhigOJMYL,Q1_MSU,MSU: Michigan State University,1,1
R_3YPxnom0pYPhhN7,Q1_MSU,MSU: Michigan State University,0,0
R_3zVbCvOBru17Kyt,Q1_MSU,MSU: Michigan State University,1,1
R_7EKM1d6TyzPzV2M,Q1_MSU,MSU: Michigan State University,1,1
R_1mPDQRQivLmB0Ln,Q1_MSU,MSU: Michigan State University,0,1
R_1x20Qvk81v0CVXP,Q1_MSU,MSU: Michigan State University,0,1
R_1kaYBm2DnjdW0kc,Q1_MSU,MSU: Michigan State University,1,1
R_13VOsG7XqVs1Sq0,Q1_MSU,MSU: Michigan State University,1,1
R_59uL8jXt6GsON3A,Q1_MSU,MSU: Michigan State University,2,1
R_38G6ll6T62X9wRj,Q1_MSU,MSU: Michigan State University,0,1
R_3dgBkeBlhbcDtoR,Q1_MSU,MSU: Michigan State University,1,1
R_6MGXqv8IaItaKIl,Q1_MSU,MSU: Michigan State University,2,1
R_11z01Xs29MD2l2x,Q1_MSU,MSU: Michigan State University,1,1
R_7trjWHeGVGFpkZ7,Q1_MSU,Other university:,0,1
R_1iese2Z0ZEHVCgj,Q1_MSU,MSU: Michigan State University,1,1
R_7J4vaNaKpQuCYwE,Q1_MSU,MSU: Michigan State University,1,1
R_6PFtaI3ePCjL6jo,Q1_MSU,MSU: Michigan State University,2,0
R_3Va2gufsSPmEK1H,Q1_MSU,MSU: Michigan State University,0,1
R_69zscSJurwTPdrX,Q1_MSU,MSU: Michigan State University,0,1
R_1ac7Y73kCavEeL7,Q1_MSU,MSU: Michigan State University,1,1
R_5CHZZWLGALTDjJ0,Q1_MSU,MSU: Michigan State University,0,1
R_6cMqBsGyITeFSsV,Q1_MSU,MSU: Michigan State University,1,1
R_7Jn0lIOYwdXgVYH,Q1_MSU,MSU: Michigan State University,1,1
R_60fRjcBkqTvXQBj,Q1_MSU,MSU: Michigan State University,1,1
R_6UwYwSiXzUahELT,Q1_MSU,MSU: Michigan State University,1,1
R_3QhMKVeUIiUk9Xx,Q1_MSU,MSU: Michigan State University,1,1
R_6hciMyXhxHOq7PX,Q1_MSU,MSU: Michigan State University,1,1
R_7VdxtJcHI68zIhN,Q1_MSU,MSU: Michigan State University,0,1
R_7JNok79i02eovWF,Q1_MSU,MSU: Michigan State University,0,1
R_6Konj5zP7AmMx97,Q1_MSU,MSU: Michigan State University,1,1
R_7gMVqWKuvvRreMV,Q1_MSU,MSU: Michigan State University,0,1
R_6bNQW251Rt1uQFW,Q1_MSU,MSU: Michigan State University,1,0
R_3kiyb4pjnrNV3yP,Q1_MSU,MSU: Michigan State University,1,1
R_36LzFJJjugZFCqB,Q1_MSU,MSU: Michigan State University,0,1
R_6WwIJOaXHQrd9CN,Q1_MSU,MSU: Michigan State University,0,1
R_36kIxZHBXmSVsj5,Q1_MSU,MSU: Michigan State University,1,1
R_51nTvWE8CtGAjMt,Q1_MSU,MSU: Michigan State University,2,0
R_6fqTg7qLbPFJCo1,Q1_MSU,MSU: Michigan State University,0,1
R_7EnKopAC3kerUGZ,Q1_MSU,MSU: Michigan State University,0,1
R_3EgNp6QidZ6Acw4,Q1_MSU,MSU: Michigan State University,1,1
R_34WyoEycwlHfI1b,Q1_MSU,MSU: Michigan State University,2,0
R_5JIbpIlsyqPEFeV,Q1_MSU,MSU: Michigan State University,0,0
R_3iD1pXuwcmDeAjD,Q1_MSU,MSU: Michigan State University,2,0
R_5Ed9L8dmxr1pHvA,Q1_MSU,MSU: Michigan State University,2,1
R_75u59XTkmhThAlE,Q1_MSU,MSU: Michigan State University,2,0
R_7PLBvsheONZHviA,Q1_MSU,MSU: Michigan State University,0,0
R_7fNwYuqKpftkqkS,Q1_MSU,MSU: Michigan State University,1,1
R_3ouMzXlE2gZwQjq,Q1_MSU,MSU: Michigan State University,0,1
R_6EbzxTbYF10swpf,Q1_MSU,MSU: Michigan State University,0,1
R_3FLM1K1qvXJAQrD,Q1_MSU,MSU: Michigan State University,1,1
R_6y9L42XTqI8eEGR,Q1_MSU,MSU: Michigan State University,0,1
R_5pRWS0OdFxLiL4o,Q1_MSU,MSU: Michigan State University,1,1
R_11zW0WQjk6A6cdi,Q1_MSU,MSU: Michigan State University,0,1
R_1uVb1eZOU8fPDJr,Q1_MSU,MSU: Michigan State University,1,1
R_3FFjg6DFlhGHNiv,Q1_MSU,MSU: Michigan State University,1,1
R_3BJHGXDHJ72OEal,Q1_MSU,MSU: Michigan State University,2,0
